10000 3 7413 10002
13000 3 8427 13002
16000 3 10623 16002
19000 3 12218 19002
22000 3 15715 22002
25000 3 16445 25002
28000 3 18653 28002
31000 3 18650 31002
34000 3 23503 34002
37000 3 24765 37002
40000 3 27147 40002
43000 3 28339 43002
46000 3 30026 46002
49000 3 33871 49002
52000 3 33739 52002
55000 3 35751 55002
58000 3 39960 58002
61000 3 40916 61002
64000 3 43670 64002
67000 3 44142 67002
70000 3 46672 70002
73000 3 46577 73002
76000 3 50928 76002
79000 3 52190 79002
82000 3 58602 82002
85000 3 52024 85002
88000 3 57611 88002
91000 3 60119 91002
94000 3 65161 94002
97000 3 60677 97002
100000 3 66731 100002
103000 3 74208 103002
106000 3 69977 106002
109000 3 73702 109002
112000 3 73020 112002
115000 3 77938 115002
118000 3 75310 118002
121000 3 74570 121002
124000 3 80850 124002
127000 3 90392 127002
130000 3 81225 130002
133000 3 80730 133002
136000 3 96377 136002
139000 3 99484 139002
142000 3 95597 142002
145000 3 100153 145002
148000 3 103812 148002
151000 3 107618 151002
154000 3 99576 154002
157000 3 94560 157002
160000 3 106486 160002
163000 3 116728 163002
166000 3 111761 166002
169000 3 120243 169002
172000 3 111616 172002
175000 3 118216 175002
178000 3 122824 178002
181000 3 119226 181002
184000 3 131845 184002
187000 3 123220 187002
190000 3 117847 190002
193000 3 126874 193002
196000 3 126859 196002
199000 3 129355 199002
