1000 5024 5110 5119
2000 20049 20233 20246
3000 45074 45356 45379
4000 80099 80498 80517
5000 125124 125635 125665
6000 180149 180753 180815
7000 245174 245899 245962
8000 320199 321063 321113
9000 405224 406207 406258
10000 500249 501314 501395
